"""Company History""",&quot;Историја компаније&quot;,
"""Team Members"" or ""Management""",&quot;Чланови тима&quot; или &quot;Манагемент&quot;,
&lt;head&gt; HTML,&lt;хеад&gt; ХТМЛ-,
**Currency** Master,**Валута** мастер,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Нацрт; 1 - Поднето; 2 - Отказано,
0 is highest,0 је највиши,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Листа средстава које ће клијент апликација има приступ након што корисник то дозвољава. <br> нпр пројекат,
A symbol for this currency. For e.g. $,Симбол за ову валуту. За пример $,
A4,А4,
ALL,СВЕ,
API,АПИ,
API Access,АПИ приступ,
API Endpoint,Ендпоинт АПИ,
API Endpoint Args,АПИ Ендпоинт Аргс,
API Key,АПИ кључ,
API Method,АПИ метод,
API Secret,АПИ за Тајна,
ASC,АСЦ,
About Us Settings,О нама Подешавања,
About Us Team Member,О нама члан тима,
Access Key ID,Приступни кључни ИД,
Access Key Secret,Приступна тајна кључа,
Access Log,Дневник приступа,
Access Token,Приступ токен,
Access Token URL,Приступ УРЛ-у жетона,
Account,Рачун,
Accounts Manager,Рачуни менаџер,
Accounts User,Корисничке налоге,
Action,Акција,
Action / Route,Акција / рута,
Action Timeout (Seconds),Време трајања акције (секунде),
Action Type,Тип радње,
Actions,Акције,
Active,Активан,
Active Domains,Активни домени,
Activity Log,Активност Пријава,
Add Container,Додај контејнер,
Add Custom Tags,Додајте прилагођене ознаке,
Add Gray Background,Додајте сиву позадину,
Add Signature,Адд Сигнатуре,
Add Total Row,Додај реду Укупно,
Add Unsubscribe Link,Додај Унсубсцрибе Линк,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Додато ХТМЛ-у &lt;хеад&gt; одељак веб странице, првенствено се користи за проверу сајта и СЕО",
Additional Permissions,Дополнительные разрешения,
Address,Адреса,
Address And Contacts,Адреса и контакти,
Address Line 1,Аддресс Лине 1,
Address Line 2,Аддресс Лине 2,
Address Template,Адреса шаблона,
Address Title,Адреса Наслов,
Address Type,Врста адресе,
Address and other legal information you may want to put in the footer.,Адреса и друге правне информације можда желите да ставите у подножје.,
Addresses And Contacts,Адресе и контакт,
Adds a custom field to a DocType,Додаје прилагођени поље за ДОЦТИПЕ,
Administrator,Администратор,
Advanced,Напредан,
Advanced Control,Напредна контрола,
Advanced Settings,Напредна подешавања,
After Cancel,Након отказа,
After Delete,Након брисања,
After Save,Након Саве,
After Save (Submitted Document),Након снимања (предати документ),
After Submit,Након слања,
Aggregate Function Based On,Функција агрегиране на основу,
Alert,Упозорење,
Align Labels to the Right,Поравнајте ознаке на десно,
Align Right,Поравнајте десно,
All,Све,
All Day,Целодневни,
Allocated To,Додељених,
Allot Points To Assigned Users,Додијелите бодове додијељеним корисницима,
Allow,Дозволи,
Allow Auto Repeat,Дозволи аутоматско понављање,
Allow Bulk Edit,Дозволи Булк Едит,
Allow Comments,Дозволи коментаре,
Allow Consecutive Login Attempts ,Дозволи конусне покушаје за пријављивање,
Allow Delete,Дозволи Делете,
Allow Dropbox Access,Дозволи Дропбок Аццесс,
Allow Guest,Дозволи госту,
Allow Guest to View,Дозволите Гост то Виев,
Allow Guests to Upload Files,Дозволи гостима да учитавају датотеке,
Allow Import (via Data Import Tool),Дозволи увоз (преко података Импорт Тоол),
Allow Incomplete Forms,"Дозволи некомплетним, облицима",
Allow Login After Fail,Дозволи пријава након грешке,
Allow Login using Mobile Number,Дозволите Пријава користећи број мобилног телефона,
Allow Login using User Name,Дозволи Логин помоћу корисничког имена,
Allow Modules,Дозволи модуле,
Allow Print,dozvoli Принт,
Allow Print for Cancelled,Дозвољавају Принт за Отказан,
Allow Print for Draft,Дозволити штампање за Нацрт,
Allow Read On All Link Options,Дозволи читање свих опција везе,
Allow Rename,Дозволи Преименовање,
Allow Roles,dozvoli улога,
Allow Self Approval,Дозволи самопоуздање,
Allow approval for creator of the document,Дозволи одобрење за креатора документа,
Allow document creation via Email,Дозволи стварање докумената путем е-поште,
Allow events in timeline,Дозволи догађаје у временском оквиру,
Allow in Quick Entry,Дозволи у брзом уносу,
Allow on Submit,Дозволи на Субмит,
Allow only one session per user,Дозволите само једну седницу по кориснику,
Allow page break inside tables,Дозволите прелом стране унутар табеле,
Allow saving if mandatory fields are not filled,Дозволи чување ако обавезна поља нису испуњена,
Allow user to login only after this hour (0-24),Дозволи кориснику да тек пријавите након овог часа (0-24),
Allow user to login only before this hour (0-24),Дозволи кориснику да само пријави пре него што овај час (0-24),
Allowed,Дозвољен,
Allowed In Mentions,Допуштено у напоменама,
"Always add ""Draft"" Heading for printing draft documents",Увек додајте &quot;нацрт&quot; ишао за штампање нацрта докумената,
Amend,Изменити,
Amended From,Измењена од,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Икона датотеке са екстензијом .ицо. Требало би да буде 16 к 16 пк. Генератед користећи Фавицон Генератор. [фавицон-генератор.орг],
Analytics,аналитика,
Annual,годовой,
Anonymous,Анонимно,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,Могу се користити било који језици штампача на бази низа. Писање сирових команди захтева познавање матерњег језика штампача које обезбеђује произвођач штампача. Потражите упутство за програмере који је дао произвођач штампача о томе како писати своје матичне наредбе. Ове команде се приказују на страни сервера користећи се Јиња Темплатинг Лангуаге.,
App,Апликација,
App Access Key,Апп Приступни тастер,
App Client ID,Апп ИД клијента,
App Client Secret,Апп Клијент Тајна,
App Name,Имя приложения,
App Secret Key,Апп тајни кључ,
Append Emails to Sent Folder,Додајте поруке е-поште у Послани директоријум,
Append To,Аппенд Да,
Applicable For,Применимо для,
Application Logo,Логотип апликације,
Application Name,Назив апликације,
Application Version,Верзија апликације,
Applied On,Примењено на,
Apply Document Permissions,Примени дозволе за документ,
Apply Only Once,Пријавите се само једном,
Apply Strict User Permissions,Нанесите Строгог корисничке дозволе,
Apply To All Document Types,Применити на све врсте докумената,
Apply this rule if the User is the Owner,Примени ово правило ако Усер ис Власник,
Apply this rule only once per document,Примените ово правило само једном на документ,
Appreciation,Захвалност,
Archived,Архивирано,
Arial,Ариал,
Assign Condition,Додели стање,
Assign To Users,Доделите корисницима,
Assigned,Ассигнед,
Assigned By,Доделио,
Assigned By Full Name,Ассигнед пуно име,
Assignment,Додељивање,
Assignment Completed,задатак Завршен,
Assignment Days,Дани додјеле,
Assignment Rule,Правило додељивања,
Assignment Rule Day,Дан правила о додјели,
Assignment Rule User,Корисник правило правила,
Assignment Rules,Правила додељивања,
Assignments,Задаци,
Attach,Лепити,
Attach Image,Прикрепите изображение,
Attach Print,Причврстите Принт,
Attached File,Приложена датотека,
Attached To DocType,Везан ДОЦТИПЕ,
Attached To Field,Прикачено на терену,
Attached To Name,Везан Име,
Attachment,Прилог,
Attachment Limit (MB),Прилог Лимит (МБ),
Attachment Link,Прилог Линк,
Attachment Removed,Прилог Уклоњена,
Attachments,Прилози,
Auth URL Data,Аутх УРЛ подаци,
Authentication,Аутентикација,
Author,аутор,
Authorization Code,код за дозволу,
Authorize API Indexing  Access,Одобри приступ индексирању АПИ-ја,
Authorize Google Calendar Access,Ауторизирајте приступ Гоогле календару,
Authorize Google Contacts Access,Ауторизирајте приступ Гоогле контактима,
Authorize Google Drive Access,Ауторизирајте приступ Гоогле диску,
Authorize URL,Овластите УРЛ адресу,
Authorized,овлашћен,
Auto,ауто,
Auto Email Report,Ауто-маил Извештај,
Auto Name,Ауто Име,
Auto Repeat,Ауто Репеат,
Auto Reply Message,Ауто порука одговора,
Automatically Assign Documents to Users,Аутоматски доделите документе корисницима,
Automation,Аутоматизација,
Avatar,Аватар,
Average,Просек,
Awaiting Password,Чекање лозинке,
Awaiting password,Очекујем Лозинка,
BCC,БЦЦ,
Background Color,Боја позадине,
Background Workers,бацкгроунд Радници,
Backup Details,Детаљи резервне копије,
Backup Files,Бекап фајлови,
Backup Folder ID,ИД резервне мапе,
Backup Folder Name,Назив резервне мапе,
Backup Frequency,бацкуп Фреквенција,
Backup public and private files along with the database.,Правите резервне копије јавних и приватних датотека заједно са базом података.,
Backups,бацкупс,
Banner,Барјак,
Banner HTML,Банер ХТМЛ,
Banner Image,Слика банера,
Banner is above the Top Menu Bar.,Банер је изнад горњој траци менија.,
Bar,Бар,
Barcode,Баркод,
Base Distinguished Name (DN),База препознатљивог имена (ДН),
Base URL,База УРЛ,
Based On,На Дана,
Based on Field,На основу Фиелд,
Based on Permissions For User,На основу дозволе за корисника,
Basic,основной,
Before Cancel,Пре отказа,
Before Delete,Пре брисања,
Before Insert,Пре уметања,
Before Save,Пре Саве,
Before Save (Submitted Document),Пре него што сачувате (достављен документ),
Before Submit,Пре слања,
Beginner,почетник,
Beta,бета,
Billing,Обрачун,
Bio,Био,
Birth Date,Датум рођења,
Block Module,Блокирај Модул,
Block Modules,Блоцк Модули,
Blocked,блокиран,
Blog Category,Категорија блог,
Blog Intro,Блог Интро,
Blog Introduction,Блог Увод,
Blog Post,Блог пост,
Blog Settings,Блог Подешавања,
Blog Title,Наслов блога,
Blogger,Блоггер,
Blue,Плава,
Bold,Одважан,
Bot,бот,
Bottom,Дно,
Bounced,Боунцед,
Brand,Марка,
Brand HTML,Бренд ХТМЛ,
Brand Image,Слика бренда,
Breadcrumbs,Бреадцрумбс,
Browser,Претраживач,
Browser Version,Верзија прегледача,
Brute Force Security,Бруте Форце Сецурити,
Bucket Name,Назив сегмента,
Bulk Update,Групно мењање,
Button,Дугме,
Button Gradients,Градиенти дугмета,
Button Rounded Corners,Дугмад заобљени углови,
Button Shadows,Буттон Схадовс,
Bypass Restricted IP Address Check If Two Factor Auth Enabled,Заобиђите ограничену ИП адресу Проверите да ли је омогућена ауторизација са два фактора,
Bypass Two Factor Auth for users who login from restricted IP Address,Бипасс Тво Фацтор Аутх за кориснике који се пријављују из ограничене ИП адресе,
Bypass restricted IP Address check If Two Factor Auth Enabled,Бипасс ограничена провера ИП адресе Ако је Тво Фацтор Аутх омогућено,
CC,КЗ,
CSS,ЦСС,
CSS Class,ЦСС Цласс,
CSV,ЦСВ,
CTA Label,Ознака ЦТА,
CTA URL,УРЛ позива на позив,
Calendar,Календар,
Calendar Name,Име календара,
Calendar View,Преглед календара,
Call,Позив,
Call To Action,Позив на акцију,
Call To Action URL,УРЛ позива на акцију,
Callback Message,Порука повратног позива,
Callback Title,Наслов повратног позива,
Campaign,Кампања,
Cancel,Отказати,
Cancelled,Отказано,
Card,Цард,
Cards,Картице,
Category,Категорија,
Category Description,Категорија Опис,
Category Name,Име категорије,
Center,Центар,
Chaining Hash,Цхаининг Хасх,
Change Label (via Custom Translation),Промена Ознака (преко Цустом Транслатион),
Change Password,Промена лозинке,
Channel,Канал,
Chart,Табела,
Chart Configuration,Конфигурација графикона,
Chart Name,Назив графикона,
Chart Options,Опције графикона,
Chart Source,Извор графикона,
Chart Type,Тип графикона,
Charts,Графикони,
Chat,Ћаскање,
Check,Проверавати,
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Проверите ово ако желите да натера кориснику да одабере серију пре чувања. Неће бити подразумевано ако проверите ово.,
Checking this will hide custom doctypes and reports cards in Links section,"Ако означите ово, сакриће се прилагођени докторски типови и картице извештаја у одељку Везе",
Checksum Version,Верзија Цхецксум,
Child Tables are shown as a Grid in other DocTypes,Подређене табеле су приказане као Грид у другим ДоцТипес,
Choose authentication method to be used by all users,Изаберите метод аутентификације који ће користити сви корисници,
City,Град,
City/Town,Град / Место,
Clicked,Кликнуто,
Client,Клијент,
Client Code,Шифра клијента,
Client Credentials,Цлиент Сведочанства,
Client ID,ИД клијента,
Client Information,Информације о клијенту,
Client Script,Цлиент Сцрипт,
Client Secret,klijent Тајна,
Client URLs,УРЛ-ови клијента,
Close Condition,Затвори стање,
Closed,Затворено,
Code,Код,
Collapsible,Цоллапсибле,
Collapsible Depends On,Цоллапсибле Дубоко У,
Color,Боја,
Column Break,Колона Пауза,
Column Name,Колона Име,
Columns,kolone,
Columns / Fields,Колоне / поља,
Comment,Коментирај,
Comment By,Коментар,
Comment Email,Коментар е-поште,
Comment Type,Коментар Тип,
Comments and Communications will be associated with this linked document,Коментари и комуникације ће бити повезана са овим везног документа,
Commit,Урадити,
Communication,Комуникација,
Communication Link,Комуникациона веза,
Communication Type,komunikacija Тип,
Compact Item Print,Компактан артикла Штампа,
Company History,Историја компаније,
Company Introduction,Компанија Увод,
Company Name,Име компаније,
Complete,Комплетан,
Completed,Завршен,
Component,Саставни део,
Condition,Услов,
Conditions,Услови,
Configuration,Конфигурација,
Confirmation Email Template,Шаблон е-поште за потврду,
Console,Конзола,
Console Log,Дневник конзоле,
Contact,Контакт,
Contact Details,Контакт Детаљи,
Contact Email,Контакт Емаил,
Contact Numbers,Контактирајте бројеве,
Contact Phone,Контакт телефон,
Contact Us Settings,Контакт Сеттингс,
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","Контакт опције, као што су &quot;Куери продаје, Подршка упиту&quot; итд сваки на новој линији или раздвојене зарезима.",
Contacts,связи,
Content,Садржина,
Content (HTML),Садржај (ХТМЛ),
Content (Markdown),Садржај (Маркдовн),
Content Hash,Содержимое Hash,
Content Type,Тип садржаја,
Context,Контекст,
Context Script,Контекстна скрипта,
Contributed,Допринели,
Contribution Document Name,Назив документа за допринос,
Contribution Status,Статус доприноса,
Copyright,Ауторско право,
Core,Језгро,
Count,Гроф,
Count Filter,Филтер за бројање,
Counter,Цоунтер,
Country,Земља,
Country Name,Земља Име,
County,округ,
Create,Створити,
Create Contacts from Incoming Emails,Створите контакте из долазне е-поште,
Create Entry,Цреате Ентри,
Create Log,Креирајте дневник,
Create and Send Newsletters,Стварање и слање Билтен,
Created,Цреатед,
Criticism,Критика,
Cron,Црон,
Cron Format,Црон Формат,
Currency,Валута,
Currency Name,Валута Име,
Currency Precision,Валута Прецизни,
Current,Тренутни,
Custom,Обичај,
Custom Base URL,Корисничка база УРЛ адресе,
Custom CSS,Прилагођени ЦСС,
Custom Configuration,Прилагођена конфигурација,
Custom DocPerm,цустом ДоцПерм,
Custom Field,Прилагођена поља,
Custom Format,Прилагођени Формат,
Custom HTML Help,Прилагођени ХТМЛ Помоћ,
Custom Menu Items,Цустом Ставке менија,
Custom Options,Прилагођене опције,
Custom Overrides,Прилагођена замена,
Custom Report,Прилагођени извештај,
Custom Role,цустом Улога,
Custom SCSS,Прилагођени СЦСС,
Custom Sidebar Menu,Цустом Сидебар Мену,
Custom?,Цустом?,
Customization,Прилагодба,
Customize Form,Прилагодите формулар,
Customize Form Field,Прилагодите поље Форм,
DESC,АСЦ,
Daily,Дневно,
Daily Long,Даили Лонг,
Danger,Опасност,
Dark Color,Тамне боје,
Dashboard,Командна табла,
Dashboard Chart,Дасхбоард Цхарт,
Dashboard Chart Field,Поље графикона на контролној табли,
Dashboard Chart Link,Веза везе графикона на контролној табли,
Dashboard Chart Source,Извор графикона на контролној табли,
Dashboard Manager,Дасхбоард Манагер,
Dashboard Name,Назив надзорне табле,
Dashboard Settings,Подешавања контролне табле,
Dashboards,Надзорне табле,
Data,Подаци,
Data Export,Извоз података,
Data Import,Увоз података,
Database Engine,baza мотора,
Date,Датум,
Date Format,Формат датума,
Date Range,Датум опсег,
Date and Number Format,Дата и номер Формат,
Datetime,Датетиме,
Day,дан,
Day of Week,Дан у недељи,
Days After,Дани После,
Days Before,Даис Бефоре,
Days Before or After,Дана пре или после,
Default,Уобичајено,
Default Incoming,Уобичајено Долазни,
Default Letter Head,Уобичајено Леттер Хеад,
Default Outgoing,Уобичајено Одлазећи,
Default Portal Home,Почетна Портал Хоме,
Default Print Format,Уобичајено Принт Формат,
Default Print Language,Подразумевани језик штампања,
Default Redirect URI,Уобичајено Преусмеравање УРИ,
Default Role at Time of Signup,Уобичајено Улога у време Сигнуп,
Default Sort Field,Подразумевано поље за сортирање,
Default Sort Order,Подразумевани редослед сортирања,
Default Value,Подразумевана вредност,
"Default: ""Contact Us""",Уобичајено: &quot;Контакт&quot;,
DefaultValue,ДефаултВалуе,
Defaults,Примарни,
Defines actions on states and the next step and allowed roles.,Дефинише радње на држава и следећи корак и дозвољене улоге.,
Defines workflow states and rules for a document.,Дефинише тока посла државе и правила за документ.,
Delayed,Одложен,
Delete,Избрисати,
Deleted,Делетед,
Deleted DocType,deleted ДОЦТИПЕ,
Deleted Document,deleted документ,
Deleted Name,deleted Име,
Delivery Status,Статус испоруке,
Department,Одељење,
Dependencies,Зависности,
Depends On,Зависи,
Description,Опис,
"Description for listing page, in plain text, only a couple of lines. (max 200 characters)","Опис странице са пописом, у обичном тексту, само неколико редова. (највише 200 знакова)",
Designation,Ознака,
Desk,Сто,
Desk Access,сто приступа,
Desktop Icon,икона на радној површини,
Details,Детаљи,
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Различите &quot;Државе&quot;, овај документ може да постоји унутра Као &quot;Отвори&quot;, &quot;Чека Одобрење&quot; итд",
Digits,Цифре,
Disable Auto Refresh,Онемогући аутоматско освежавање,
Disable Comments,Онемогући коментаре,
Disable Count,Онемогући бројање,
Disable SMTP server authentication,Онемогући провјеру идентитета СМТП сервера,
Disable Sidebar Stats,Онемогући статистику бочне траке,
Disable Signup,Онемогући Регистрација,
Disable Standard Email Footer,Искључите Стандард Емаил Фоотер,
Disabled,Онеспособљен,
Display,дисплей,
Display Depends On,Екрану зависе од,
Doc Event,Доц Евент,
Doc Events,Доц Евентс,
Doc Status,Док статус,
DocField,ДоцФиелд,
DocPerm,ДоцПерм,
DocShare,ДоцСхаре,
DocType,ДоцТипе,
DocType Action,ДоцТипе Ацтион,
DocType Event,ДоцТипе Евент,
DocType Link,ДоцТипе Линк,
DocType View,ДоцТипе Виев,
DocType is a Table / Form in the application.,ДОЦТИПЕ је Табела / Форма у пријави.,
DocType on which this Workflow is applicable.,ДОЦТИПЕ на којима ова Воркфлов је применљиво.,
Doctype,ДОЦТИПЕ,
Document,Документ,
Document Actions,Радње са документима,
Document Follow,Доцумент Фоллов,
Document Link,Линк до документа,
Document Links,Везе до документа,
Document Name,Документ Име,
Document Naming Rule,Правило именовања докумената,
Document Naming Rule Condition,Услов правила за именовање докумената,
Document Share,Доцумент Схаре,
Document Share Report,Документ Подели Пријави,
Document States,Документ Америчке Државе,
Document Tag,Доцумент Таг,
Document Title,Назив документа,
Document Type,Доцумент Типе,
Document Type to Track,Врста документа за праћење,
Document Types,Врсте докумената,
Documentation Link,Доцументатион Линк,
Documentation URL,УРЛ документације,
Domain,Домен,
Domain Settings,Подешавања домена,
Domains HTML,Домени ХТМЛ,
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","Не ХТМЛ-Кодирање ХТМЛ ознаке као што су: &lt;сцрипт&gt; или само као ликови &lt;или&gt;, јер може да се намерно користи у овој области",
Don't Override Status,Не замењују Статус,
Don't Send Emails,Не шаљите е-пошту,
Donut,Крофна,
Download Backups,Довнлоад Бацкуп,
Download Template,Преузмите шаблон,
Dropbox Access Token,Дропбок Приступ Знак,
Dropbox Settings,Дропбок Подешавања,
Dropdowns,Дропдовнс,
Due Date,Дуе Дате,
Due Date Based On,Дуе Дате Басед Он,
Duration,Трајање,
Dynamic Filters,Динамички филтери,
Dynamic Filters JSON,Динамички филтери ЈСОН,
Dynamic Filters Section,Одељак за динамичке филтере,
Dynamic Link,Динамиц Линк,
Dynamic Report Filters,Филтери за динамички извештај,
Dynamic Route,Динамичка рута,
Dynamic Template,Динамички предложак,
Edit,Уредити,
Edit Values,Уреди вредности,
Editable Grid,едитабле Мрежа,
Eg. smsgateway.com/api/send_sms.cgi,Нпр. смсгатеваи.цом / апи / сенд_смс.цги,
Email,Емаил,
Email Account,Емаил рачуна,
Email Account Name,Емаил налог Име,
Email Address,Адреса Е-поште,
Email Address whose Google Contacts are to be synced.,Адреса е-поште чији Гоогле контакти треба да се синхронизују.,
Email Addresses,Имејл адресе,
Email Domain,емаил Домен,
Email Flag Queue,Емаил Застава редова,
Email Footer Address,Е-маил адреса подножје,
Email Group,емаил Група,
Email Group Member,Емаил Гроуп Мембер,
Email ID,Идентификација Поруке,
Email IDs,Е-маил Идс,
Email Id,Е-маил ИД,
Email Inbox,Пошаљите е-пошту,
Email Queue,емаил редова,
Email Queue Recipient,Емаил редова Прималац,
Email Queue records.,Е-маил Куеуе записа.,
Email Reply Help,Емаил Репли Хелп,
Email Rule,емаил Правило,
Email Sent,Емаил Сент,
Email Settings,Емаил подешавања,
Email Signature,Е-маил Потпис,
Email Status,емаил статус,
Email Sync Option,Емаил Синхронизација Опција,
Email Template,Емаил Темплате,
Email To,Е-маил Да,
Email Unsubscribe,Е-маил Откажи,
Emails will be sent with next possible workflow actions,Е-пошта ће бити послата са следећим могућим радним токовима,
Enable,омогућити,
Enable Auto Reply,Енабле Ауто Одговори,
Enable Automatic Backup,Омогућите аутоматску резервну копију,
Enable Automatic Linking in Documents,Омогући аутоматско повезивање у документима,
Enable Comments,Омогући Коментари,
Enable Email Notifications,Омогући обавештења путем е-поште,
Enable Google Indexing,Омогућите Гоогле индексирање,
Enable In App Website Tracking,Омогући праћење веб локација у апликацији,
Enable Incoming,Омогући долазни,
Enable Onboarding,Омогућите Онбоардинг,
Enable Outgoing,Омогући Одлазећи,
Enable Password Policy,Омогући Пассворд Полици,
Enable Print Server,Омогући Сервер за штампање,
Enable Raw Printing,Омогући сирово штампање,
Enable Scheduled Jobs,Омогући Заказани Послови,
Enable Security,Омогући сигурност,
Enable Social Login,Омогући друштвени пријава,
Enable Social Sharing,Омогући друштвено дељење,
Enable Two Factor Auth,Омогући два фактора Аутх,
Enabled,Омогућено,
End Date,Датум завршетка,
End Date Field,Поље крајњег датума,
Endpoint URL,УРЛ крајње тачке,
Endpoints,Ендпоинтс,
Ends on,Завршава се,
Energy Point,Енерги Поинт,
Energy Point Log,Евиденција енергетске тачке,
Energy Point Rule,Правило енергетске тачке,
Energy Point Settings,Подешавања енергетске тачке,
Energy Points,Енергетски поени,
Enter Form Type,Унесите Тип Форм,
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Ентер поља стандардна вредност (Кеис) и вредности. Ако додате више вредности за поља, прва ће бити одабран. Ове подразумеване се такође користе за постављање &quot;матцх&quot; дозвола правила. Да бисте видели листу поља, идите на &quot;Цустомизе Форм&quot;.",
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Унесите статичке параметре овде УРЛ адресу (нпр. пошиљалац = ЕРПНект, усернаме = ЕРПНект, лозинком = 1234 итд)",
Enter url parameter for message,Унесите УРЛ параметар за поруке,
Enter url parameter for receiver nos,Унесите УРЛ параметар за пријемник бр,
Error,Грешка,
Error Log,Грешка се,
Error Message,Порука о грешци,
Event,Догађај,
Event Category,Категорија догађаја,
Event Participants,Учесници догађаја,
Event Type,Тип догађаја,
Everyone,Свако,
"Ex: ""colors"": [""#d1d8dd"", ""#ff5858""]","Нпр: &quot;боје&quot;: [&quot;# д1д8дд&quot;, &quot;# фф5858&quot;]",
Example,Пример,
"Example: ""/desk""",Пример: &quot;/ деск&quot;,
Example: #Tree/Account,Пример: # Дрво / рачун,
Example: 00001,Пример: 00001,
Example: {{ subject }},Пример: {{субјецт}},
Excel,Екцел,
Exception,Изузетак,
Execute,Извршити,
Expert,експерт,
Expiration time,истека времена,
Expire Notification On,Истиче Обавештење о,
Expired,Истекло,
Expires In,Истиче,
Expires On,Истиче,
Expiry time of QR Code Image Page,Време истека КР кодне странице,
Export,Извоз,
Export From,Извоз из,
Expose Recipients,изложити прималаца,
"Expression, Optional","Израз, Опциони",
Facebook,facebook,
Failed,Није успео,
FavIcon,Фавицон,
Fax,Фак,
Featured,Изабран,
Feedback,Повратна веза,
Feedback Request,феедбацк Упит,
Fetch From,Фетцх Фром,
Field,поље,
Field Description,Поље Опис,
Field Name,Име поља,
Field To Check,Поље за проверу,
Field Type,Тип поља,
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","Област која представља државу тока трансакције (ако поље није присутно, нова скривена Прилагођена поља ће бити креиран)",
Field to Track,Фиелд то Трацк,
Fieldname,Имепоља,
Fields,Поља,
Fields Multicheck,Фиелдс Мултицхецк,
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","Поља раздвојена зарезом (,) ће бити укључена у &quot;Тражити по&quot; списку Сеарцх дијалогу",
Fieldtype,Фиелдтипе,
File,Филе,
File Backup,Филе Бацкуп,
File Information,Информације о датотеци,
File Name,Филе Наме,
File Size,Величина,
File Type,Тип фајла,
File URL,Филе УРЛ,
Files,Фајлови,
Filter Data,филтер података,
Filter List,Листа филтера,
Filter Meta,Филтер Мета,
Filter Name,Име филма,
Filter Values,Вредности филтера,
Filters,Филтери,
Filters Configuration,Конфигурација филтера,
Filters Display,Филтери Приказ,
Filters JSON,Филтери ЈСОН,
Filters Section,Одељак за филтере,
"Filters will be accessible via <code>filters</code>. <br><br>Send output as <code>result = [result]</code>, or for old style <code>data = [columns], [result]</code>","Филтери ће бити доступни путем <code>filters</code> .<br><br> Пошаљите излаз као <code>result = [result]</code> или за <code>data = [columns], [result]</code> старог стила <code>data = [columns], [result]</code>",
Finished,Готов,
First Name,Име,
First Success Message,Прва порука о успеху,
Flag,Флаг,
Float,Пловак,
Float Precision,Флоат Прецисион,
Fold,Преклопити,
Folder,Фасцикла,
Font,Фонт,
Font Properties,Својства фонта,
Font Size,Величина фонта,
Fonts,Фонтови,
Footer,Подножје,
Footer HTML,Фоотер ХТМЛ,
Footer Items,Фоотер Артикли,
Footer Logo,Подножје Лого,
Footer Template,Шаблон подножја,
Footer Template Values,Вредности предлошка подножја,
Footer will display correctly only in PDF,Фоотер ће се исправно приказати само у ПДФ-у,
For DocType Link / DocType Action,За ДоцТипе Линк / ДоцТипе Ацтион,
For Document Event,За Доцумент Евент,
For User,за кориснике,
For Value,За вредност,
For example: {} Open,На пример: {} Отвори,
